"date","R_calc","lower","upper"
2019-12-28,NA,NA,NA
2019-12-29,NA,NA,NA
2019-12-30,NA,NA,NA
2019-12-31,NA,NA,NA
2020-01-01,NA,NA,NA
2020-01-02,NA,NA,NA
2020-01-03,NA,NA,NA
2020-01-04,NA,NA,NA
2020-01-05,NA,NA,NA
2020-01-06,NA,NA,NA
2020-01-07,NA,NA,NA
2020-01-08,NA,NA,NA
2020-01-09,NA,NA,NA
2020-01-10,NA,NA,NA
2020-01-11,0.617053045918784,0.609199571549688,0.636763272013282
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,0,0
2020-01-22,0,0,0
2020-01-23,2.72026475619071,2.62629889626284,2.76062778236923
2020-01-24,2.72026475619071,2.67548172838822,2.74268182990282
2020-01-25,2.53263165118658,2.50147521038272,2.54599448770153
2020-01-26,2.30196465813366,2.28429538533994,2.31522354698721
2020-01-27,2.0730851888853,2.05993477638191,2.08624150829943
2020-01-28,2.14332046298224,2.13453186817232,2.14771574468881
2020-01-29,2.20931862390204,2.19170466535013,2.22694310030972
2020-01-30,2.08624150829943,2.06431759079229,2.11257186331766
2020-01-31,2.1257458979464,2.09940373335682,2.16530343457613
2020-02-01,2.04241008479826,2.01614275677831,2.08624150829943
2020-02-02,1.88516222635842,1.85903778655871,1.92875623719963
2020-02-03,1.73744458465576,1.7114586410842,1.78080958339559
2020-02-04,1.69414858219334,1.66820452459134,1.74177799530898
2020-02-05,1.57760282979113,1.55177582075098,1.6207067708404
2020-02-06,1.45302628169388,1.43161409370385,1.49591048002063
2020-02-07,1.32912625416859,1.31209378627827,1.37603876336567
2020-02-08,1.18061004449156,1.16371596421945,1.22715621801422
2020-02-09,1.00834691507031,0.99165894854391,1.05854622523942
2020-02-10,0.813977221997539,0.797638550389006,0.875563974080304
2020-02-11,0.736731173648702,0.720595698363115,0.793559883242988
2020-02-12,0.613124058651343,0.593547946274673,0.676486564168091
2020-02-13,0.416882208568319,0.388571488488569,0.508978900986552
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0.871443660524972,0.805803142942949,0.892064584956547
2020-02-21,1.07951927956306,1.00834691507031,1.10893425763264
2020-02-22,1.10052385438722,1.03760589585848,1.12576938833084
2020-02-23,1.03342186983578,0.98332386280195,1.05854622523942
2020-02-24,1.07532210986907,1.02923921553555,1.10052385438722
2020-02-25,1.37176963908515,1.32486678264997,1.39312378723008
2020-02-26,1.80251767922191,1.7721311079166,1.81120566475819
2020-02-27,2.31080325660224,2.29754634968454,2.32848838499048
2020-02-28,2.63523512579311,2.59950645172988,2.6799569686646
2020-02-29,2.61289963002642,2.56382102342176,2.66206008499025
2020-03-01,2.53263165118658,2.48813251037972,2.5905810451858
2020-03-02,2.43482191308906,2.39046977980193,2.49702697367335
2020-03-03,2.39046977980193,2.34175917730846,2.4525814235076
2020-03-04,2.40820264640533,2.35503592928902,2.47479583712569
2020-03-05,2.39490199913044,2.34175917730846,2.47035161752699
2020-03-06,2.3373349179521,2.28429538533994,2.41263752600781
2020-03-07,2.23135086368987,2.1785010948237,2.30638362704573
2020-03-08,2.09062826051647,2.04241008479826,2.16090552753959
2020-03-09,2.02051900143103,1.97241651109876,2.09062826051647
2020-03-10,2.02051900143103,1.97241651109876,2.09062826051647
2020-03-11,2.03365167995924,1.98552746846825,2.10379245393184
2020-03-12,2.04241008479826,1.99427140188172,2.11696255211723
2020-03-13,2.05993477638191,2.01176716979737,2.13453186817232
2020-03-14,2.03365167995924,1.98552746846825,2.10379245393184
2020-03-15,1.95494447083643,1.90695092670736,2.02489590360545
2020-03-16,1.90695092670736,1.85903778655871,1.97241651109876
2020-03-17,1.88951863517447,1.84598459741363,1.95931149055279
2020-03-18,1.88516222635842,1.84163487579535,1.95057811180311
2020-03-19,1.86774326079215,1.82424271185517,1.93311928834549
2020-03-20,1.82858974325944,1.78514984328218,1.89387571004731
2020-03-21,1.75911851754431,1.72011784989631,1.82424271185517
2020-03-22,1.65956215150312,1.6207067708404,1.72011784989631
2020-03-23,1.56899085269293,1.53457278490483,1.62933627933467
2020-03-24,1.50449672110765,1.47017048205227,1.56038184480216
2020-03-25,1.4573111355793,1.42733409162038,1.51308605232536
2020-03-26,1.41877654563542,1.39312378723008,1.47017048205227
2020-03-27,1.38457957663009,1.35896743684625,1.43589491135139
2020-03-28,1.33764788235565,1.31209378627827,1.38457957663009
2020-03-29,1.2610851125338,1.23987213488017,1.30783794050672
2020-03-30,1.18906355735029,1.16793784967407,1.23139385549587
2020-03-31,1.14262319105644,1.12155883551995,1.18483626692568
2020-04-01,1.1173494574451,1.10052385438722,1.15105694141283
2020-04-02,1.10472845226734,1.08791739135946,1.13840801695007
2020-04-03,1.09632047249647,1.08371770978863,1.12576938833084
2020-04-04,1.07112621003721,1.05854622523942,1.09632047249647
2020-04-05,1.01669959496233,1.00417273083395,1.04179128267247
2020-04-06,0.958355473230891,0.950045342142769,0.979158589916156
2020-04-07,0.925154635950194,0.916871393713186,0.945892717851393
2020-04-08,0.916871393713186,0.908595208138116,0.929298859891217
2020-04-09,0.916871393713186,0.912732410007012,0.929298859891217
2020-04-10,0.90445980616395,0.900326222457666,0.912732410007012
2020-04-11,0.879686243881497,0.875563974080304,0.883810449168488
2020-04-12,0.830352957785943,0.826255643404946,0.834452482637705
2020-04-13,0.765079781178265,0.765079781178265,0.769140585888771
2020-04-14,0.712546349836756,0.712546349836756,0.716569457621152
2020-04-15,0.704509702396384,0.700496249233713,0.708526417138469
2020-04-16,0.740772472404806,0.728657413844429,0.744816666282179
2020-04-17,0.78948367478601,0.773204038261687,0.797638550389006
2020-04-18,0.8180677491566,0.797638550389006,0.826255643404946
2020-04-19,0.813977221997539,0.797638550389006,0.826255643404946
2020-04-20,0.805803142942949,0.785409955130614,0.813977221997539
2020-04-21,0.805803142942949,0.785409955130614,0.8180677491566
2020-04-22,0.830352957785943,0.809889010742873,0.842658063360194
2020-04-23,0.854982396978562,0.834452482637705,0.867325324343194
2020-04-24,0.875563974080304,0.854982396978562,0.887936569541956
2020-04-25,0.871443660524972,0.850872189168292,0.879686243881497
2020-04-26,0.830352957785943,0.813977221997539,0.842658063360194
2020-04-27,0.78948367478601,0.777270105385903,0.797638550389006
2020-04-28,0.773204038261687,0.756966249346132,0.781338754929661
2020-04-29,0.773204038261687,0.756966249346132,0.781338754929661
2020-04-30,0.793559883242988,0.777270105385903,0.805803142942949
2020-05-01,0.801719646642379,0.781338754929661,0.809889010742873
2020-05-02,0.781338754929661,0.765079781178265,0.78948367478601
2020-05-03,0.736731173648702,0.720595698363115,0.744816666282179
2020-05-04,0.700496249233713,0.684475951854875,0.708526417138469
2020-05-05,0.712546349836756,0.692479305975025,0.720595698363115
2020-05-06,0.769140585888771,0.748863718026246,0.781338754929661
2020-05-07,0.846764070133907,0.822160565155137,0.85909467049139
2020-05-08,0.90445980616395,0.879686243881497,0.921012141508888
2020-05-09,0.929298859891217,0.90445980616395,0.945892717851393
2020-05-10,0.908595208138116,0.883810449168488,0.921012141508888
2020-05-11,0.887936569541956,0.863208987037301,0.896194475714213
2020-05-12,0.883810449168488,0.863208987037301,0.896194475714213
2020-05-13,0.900326222457666,0.879686243881497,0.912732410007012
2020-05-14,0.925154635950194,0.90445980616395,0.93344479647844
2020-05-15,0.937592429145145,0.916871393713186,0.945892717851393
2020-05-16,0.925154635950194,0.908595208138116,0.93344479647844
2020-05-17,0.883810449168488,0.867325324343194,0.887936569541956
2020-05-18,0.850872189168292,0.838554192751125,0.854982396978562
2020-05-19,0.850872189168292,0.838554192751125,0.854982396978562
2020-05-20,0.887936569541956,0.875563974080304,0.892064584956547
2020-05-21,0.896194475714213,0.879686243881497,0.900326222457666
2020-05-22,0.900326222457666,0.887936569541956,0.90445980616395
2020-05-23,0.879686243881497,0.867325324343194,0.883810449168488
2020-05-24,0.834452482637705,0.822160565155137,0.838554192751125
2020-05-25,0.801719646642379,0.793559883242988,0.805803142942949
2020-05-26,0.8180677491566,0.809889010742873,0.826255643404946
2020-05-27,0.871443660524972,0.85909467049139,0.879686243881497
2020-05-28,0.925154635950194,0.908595208138116,0.93344479647844
2020-05-29,0.954199599006855,0.937592429145145,0.962512949857593
2020-05-30,0.962512949857593,0.945892717851393,0.97083265173802
2020-05-31,0.925154635950194,0.912732410007012,0.93344479647844
2020-06-01,0.863208987037301,0.850872189168292,0.867325324343194
2020-06-02,0.809889010742873,0.797638550389006,0.813977221997539
2020-06-03,0.813977221997539,0.805803142942949,0.822160565155137
2020-06-04,0.871443660524972,0.854982396978562,0.875563974080304
2020-06-05,0.925154635950194,0.912732410007012,0.93344479647844
2020-06-06,0.950045342142769,0.93344479647844,0.958355473230891
2020-06-07,0.929298859891217,0.916871393713186,0.937592429145145
2020-06-08,0.912732410007012,0.900326222457666,0.921012141508888
2020-06-09,0.925154635950194,0.916871393713186,0.93344479647844
2020-06-10,0.974994848311079,0.962512949857593,0.979158589916156
2020-06-11,0.99165894854391,0.979158589916156,0.995828735017939
2020-06-12,1,0.99165894854391,1.00417273083395
2020-06-13,0.995828735017939,0.987490653444715,1
2020-06-14,0.962512949857593,0.954199599006855,0.966672014180265
2020-06-15,0.929298859891217,0.925154635950194,0.93344479647844
2020-06-16,0.958355473230891,0.950045342142769,0.958355473230891
2020-06-17,1.07532210986907,1.06693158954486,1.07532210986907
2020-06-18,1.18483626692568,1.17638489645504,1.18483626692568
2020-06-19,1.29082376827381,1.28232226975946,1.29507592106732
2020-06-20,1.32060821146519,1.31635054464561,1.32486678264997
2020-06-21,1.27807293310249,1.26957710812452,1.28232226975946
2020-06-22,1.2186839748381,1.21444938032512,1.22715621801422
2020-06-23,1.16793784967407,1.15949517974549,1.18061004449156
2020-06-24,1.1173494574451,1.10893425763264,1.12998110799609
2020-06-25,1.07532210986907,1.07112621003721,1.0921183152307
2020-06-26,1.05016609581629,1.04179128267247,1.06273825801909
2020-06-27,1,0.995828735017939,1.01669959496233
2020-06-28,0.929298859891217,0.925154635950194,0.950045342142769
2020-06-29,0.879686243881497,0.875563974080304,0.896194475714213
2020-06-30,0.854982396978562,0.846764070133907,0.867325324343194
2020-07-01,0.854982396978562,0.850872189168292,0.867325324343194
2020-07-02,0.871443660524972,0.871443660524972,0.879686243881497
2020-07-03,0.892064584956547,0.892064584956547,0.896194475714213
2020-07-04,0.892064584956547,0.887936569541956,0.892064584956547
2020-07-05,0.854982396978562,0.850872189168292,0.854982396978562
2020-07-06,0.830352957785943,0.826255643404946,0.830352957785943
2020-07-07,0.834452482637705,0.826255643404946,0.838554192751125
2020-07-08,0.871443660524972,0.85909467049139,0.875563974080304
2020-07-09,0.916871393713186,0.90445980616395,0.925154635950194
2020-07-10,0.966672014180265,0.950045342142769,0.974994848311079
2020-07-11,0.979158589916156,0.962512949857593,0.987490653444715
2020-07-12,0.945892717851393,0.93344479647844,0.954199599006855
2020-07-13,0.929298859891217,0.916871393713186,0.93344479647844
2020-07-14,0.950045342142769,0.937592429145145,0.954199599006855
2020-07-15,1.00417273083395,0.99165894854391,1.01252254046239
2020-07-16,1.07112621003721,1.05854622523942,1.07532210986907
2020-07-17,1.12155883551995,1.10893425763264,1.12576938833084
2020-07-18,1.14262319105644,1.13419398675185,1.14683950164831
2020-07-19,1.10893425763264,1.10472845226734,1.10893425763264
2020-07-20,1.08371770978863,1.08371770978863,1.08791739135946
2020-07-21,1.07951927956306,1.07532210986907,1.08371770978863
2020-07-22,1.10472845226734,1.10472845226734,1.10893425763264
2020-07-23,1.14262319105644,1.13840801695007,1.14683950164831
2020-07-24,1.18483626692568,1.18061004449156,1.19329190945046
2020-07-25,1.19329190945046,1.18906355735029,1.20175177386964
2020-07-26,1.14683950164831,1.13840801695007,1.15527550314493
2020-07-27,1.10472845226734,1.09632047249647,1.1173494574451
2020-07-28,1.0921183152307,1.08371770978863,1.10472845226734
2020-07-29,1.11314126210802,1.10472845226734,1.12576938833084
2020-07-30,1.13840801695007,1.13419398675185,1.15105694141283
2020-07-31,1.16793784967407,1.15949517974549,1.18061004449156
2020-08-01,1.15527550314493,1.14683950164831,1.16793784967407
2020-08-02,1.10472845226734,1.09632047249647,1.1173494574451
2020-08-03,1.07532210986907,1.06693158954486,1.08791739135946
2020-08-04,1.07112621003721,1.06693158954486,1.08791739135946
2020-08-05,1.09632047249647,1.0921183152307,1.10893425763264
2020-08-06,1.13419398675185,1.12998110799609,1.14683950164831
2020-08-07,1.15527550314493,1.15105694141283,1.16793784967407
2020-08-08,1.14683950164831,1.13840801695007,1.15949517974549
2020-08-09,1.08791739135946,1.07951927956306,1.10052385438722
2020-08-10,1.06693158954486,1.05854622523942,1.07951927956306
2020-08-11,1.07112621003721,1.06273825801909,1.07951927956306
2020-08-12,1.10893425763264,1.10472845226734,1.1173494574451
2020-08-13,1.15105694141283,1.14683950164831,1.16371596421945
2020-08-14,1.18061004449156,1.17216082931709,1.18906355735029
2020-08-15,1.15949517974549,1.15527550314493,1.17216082931709
2020-08-16,1.10472845226734,1.09632047249647,1.1173494574451
2020-08-17,1.08791739135946,1.07951927956306,1.10052385438722
2020-08-18,1.08791739135946,1.08371770978863,1.10052385438722
2020-08-19,1.11314126210802,1.10893425763264,1.12576938833084
2020-08-20,1.13419398675185,1.12998110799609,1.14683950164831
2020-08-21,1.15105694141283,1.14262319105644,1.16371596421945
2020-08-22,1.12576938833084,1.12155883551995,1.13840801695007
2020-08-23,1.06693158954486,1.05854622523942,1.07951927956306
2020-08-24,1.02923921553555,1.02087806671741,1.04179128267247
2020-08-25,1.01252254046239,1.00417273083395,1.02505794406633
2020-08-26,1.01252254046239,1.00834691507031,1.02505794406633
2020-08-27,1.02505794406633,1.02087806671741,1.03342186983578
2020-08-28,1.02923921553555,1.02505794406633,1.03760589585848
2020-08-29,1.00417273083395,1,1.01252254046239
2020-08-30,0.950045342142769,0.945892717851393,0.958355473230891
2020-08-31,0.912732410007012,0.912732410007012,0.921012141508888
2020-09-01,0.90445980616395,0.90445980616395,0.908595208138116
2020-09-02,0.921012141508888,0.921012141508888,0.921012141508888
2020-09-03,0.954199599006855,0.950045342142769,0.954199599006855
2020-09-04,0.995828735017939,0.987490653444715,0.995828735017939
2020-09-05,1.00834691507031,1.00417273083395,1.01252254046239
2020-09-06,0.98332386280195,0.979158589916156,0.98332386280195
2020-09-07,0.979158589916156,0.974994848311079,0.979158589916156
2020-09-08,0.987490653444715,0.98332386280195,0.987490653444715
2020-09-09,1.02087806671741,1.01669959496233,1.02087806671741
2020-09-10,1.05435550114075,1.05016609581629,1.05435550114075
2020-09-11,1.08371770978863,1.07951927956306,1.08371770978863
2020-09-12,1.08791739135946,1.08371770978863,1.08791739135946
2020-09-13,1.05435550114075,1.05435550114075,1.05435550114075
2020-09-14,1.03342186983578,1.03342186983578,1.03760589585848
2020-09-15,1.05016609581629,1.05016609581629,1.05435550114075
2020-09-16,1.08791739135946,1.08791739135946,1.0921183152307
2020-09-17,1.13419398675185,1.13419398675185,1.13840801695007
2020-09-18,1.16793784967407,1.16371596421945,1.17216082931709
2020-09-19,1.15949517974549,1.15527550314493,1.16371596421945
2020-09-20,1.10472845226734,1.10052385438722,1.11314126210802
2020-09-21,1.06273825801909,1.05854622523942,1.07112621003721
2020-09-22,1.03342186983578,1.02923921553555,1.04597801952056
2020-09-23,1.03342186983578,1.02923921553555,1.04597801952056
2020-09-24,1.05435550114075,1.05016609581629,1.06273825801909
2020-09-25,1.07951927956306,1.07532210986907,1.08791739135946
2020-09-26,1.08371770978863,1.07951927956306,1.0921183152307
2020-09-27,1.04597801952056,1.04179128267247,1.05435550114075
2020-09-28,1.01669959496233,1.01252254046239,1.02505794406633
2020-09-29,1.00834691507031,1.00417273083395,1.01669959496233
2020-09-30,1.03342186983578,1.02923921553555,1.04179128267247
2020-10-01,1.07532210986907,1.07112621003721,1.07951927956306
2020-10-02,1.1173494574451,1.11314126210802,1.12155883551995
2020-10-03,1.12998110799609,1.12576938833084,1.13419398675185
2020-10-04,1.09632047249647,1.0921183152307,1.10052385438722
2020-10-05,1.07112621003721,1.06693158954486,1.07951927956306
2020-10-06,1.08791739135946,1.08371770978863,1.09632047249647
2020-10-07,1.14262319105644,1.13840801695007,1.14683950164831
2020-10-08,1.20175177386964,1.19752131700194,1.21021581145009
2020-10-09,1.25259698519335,1.24835438456148,1.26533062925219
2020-10-10,1.26533062925219,1.2610851125338,1.27807293310249
2020-10-11,1.23139385549587,1.22291958927794,1.24411276606609
2020-10-12,1.20175177386964,1.19329190945046,1.2186839748381
2020-10-13,1.19752131700194,1.18906355735029,1.21444938032512
2020-10-14,1.22291958927794,1.21444938032512,1.23987213488017
2020-10-15,1.26533062925219,1.25259698519335,1.28232226975946
2020-10-16,1.29932900361267,1.28657254967099,1.31635054464561
2020-10-17,1.29082376827381,1.27807293310249,1.31209378627827
2020-10-18,1.24835438456148,1.23139385549587,1.26957710812452
2020-10-19,1.2059832740061,1.19329190945046,1.23139385549587
2020-10-20,1.20175177386964,1.18483626692568,1.22291958927794
2020-10-21,1.23139385549587,1.2186839748381,1.25259698519335
2020-10-22,1.27807293310249,1.26533062925219,1.29932900361267
2020-10-23,1.31635054464561,1.30358301153184,1.34191003123271
2020-10-24,1.32060821146519,1.30358301153184,1.34617306485937
2020-10-25,1.28232226975946,1.26957710812452,1.30783794050672
2020-10-26,1.24835438456148,1.23563249624991,1.273824544327
2020-10-27,1.23987213488017,1.22291958927794,1.26533062925219
2020-10-28,1.24835438456148,1.23563249624991,1.273824544327
2020-10-29,1.26533062925219,1.25259698519335,1.29082376827381
2020-10-30,1.273824544327,1.2610851125338,1.29932900361267
2020-10-31,1.25259698519335,1.23987213488017,1.27807293310249
2020-11-01,1.20175177386964,1.18906355735029,1.22715621801422
2020-11-02,1.15527550314493,1.14262319105644,1.18061004449156
2020-11-03,1.12998110799609,1.1173494574451,1.15527550314493
2020-11-04,1.12155883551995,1.10893425763264,1.14262319105644
2020-11-05,1.12576938833084,1.11314126210802,1.14683950164831
2020-11-06,1.12998110799609,1.12155883551995,1.15105694141283
2020-11-07,1.11314126210802,1.10472845226734,1.13419398675185
2020-11-08,1.06693158954486,1.05854622523942,1.08371770978863
2020-11-09,1.02505794406633,1.01669959496233,1.04179128267247
2020-11-10,1.00417273083395,0.995828735017939,1.02087806671741
2020-11-11,1.00834691507031,1,1.02087806671741
2020-11-12,1.02923921553555,1.02087806671741,1.03760589585848
2020-11-13,1.04597801952056,1.04179128267247,1.05435550114075
2020-11-14,1.03760589585848,1.03760589585848,1.04597801952056
2020-11-15,1,0.995828735017939,1.00834691507031
2020-11-16,0.962512949857593,0.958355473230891,0.966672014180265
2020-11-17,0.950045342142769,0.945892717851393,0.954199599006855
2020-11-18,0.966672014180265,0.966672014180265,0.97083265173802
2020-11-19,1.00417273083395,1,1.00417273083395
2020-11-20,1.03760589585848,1.02923921553555,1.03760589585848
2020-11-21,1.03760589585848,1.03342186983578,1.03760589585848
2020-11-22,1,0.995828735017939,1
2020-11-23,0.962512949857593,0.962512949857593,0.966672014180265
2020-11-24,0.950045342142769,0.950045342142769,0.954199599006855
2020-11-25,0.966672014180265,0.966672014180265,0.966672014180265
2020-11-26,0.995828735017939,0.99165894854391,0.995828735017939
2020-11-27,1.02087806671741,1.01669959496233,1.02087806671741
2020-11-28,1.02087806671741,1.01669959496233,1.02087806671741
2020-11-29,0.98332386280195,0.98332386280195,0.98332386280195
2020-11-30,0.945892717851393,0.945892717851393,0.950045342142769
2020-12-01,0.937592429145145,0.937592429145145,0.937592429145145
2020-12-02,0.962512949857593,0.962512949857593,0.962512949857593
2020-12-03,1.00834691507031,1.00417273083395,1.00834691507031
